description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent,place.org.parent.places,place.org.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type
en,"",1979-01,,"",1979-01,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-01
en,"",1979-02,,"",1979-02,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-02
en,"",1979-03,,"",1979-03,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-03
en,"",1979-04,,"",1979-04,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-04
en,"",1979-05,,"",1979-05,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-05
en,"",1979-06,,"",1979-06,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-06
en,"",1979-07,,"",1979-07,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-07
en,"",1979-08,,"",1979-08,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-08
en,"",1979-09,,"",1979-09,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-09
en,"",1979-10,,"",1979-10,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-10
en,"",1979-11,,"",1979-11,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-11
en,"",1979-12,,"",1979-12,sighting,https://rr0.org/time/1/9/7/9/index.html#1979-12
Sortie de Alien de Ridley Scott.,"",1979,,"",1979,sighting,https://rr0.org/time/1/9/7/9/index.html
Fondation du FUFOR.,"",1979,,"",1979,sighting,https://rr0.org/time/1/9/7/9/index.html
