description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.type
"en Entre le dimanche 12 janvier à 08 h à le dimanche 12 janvier à 09 h A , on voit passer un vaisseau aérien auquel est attaché un habitacle, survolant le Rio Grande vers le Mexique. le mardi 28 janvier Dans le Norfolk (Angleterre), des employés de la Norwich Transportation Company en garde de nuit voient se déplacer à grande vitesse un objet globulaire sombre avec une sorte de structure sur son côté.","",sighting,1908-01$BrownsvilleTexas,,,"",,"",Brownsville (Texas),place,""""","""",s1,"""",,""Aerial Craft"","""","""",s2,"""",,Mysterious Britain",1908-01,event,https://rr0.org/time/1/9/0/8/index.html#1908-01
"en le jeudi 20 février à 19 h Dans le sud de , observation d'un ballon ou vaisseau aérien avec 4 feux à l'arrière et 1 projecteur à l'avant, ainsi qu'un occupant.","",sighting,1908-02$Lorain,,,"",,"",Lorain,place,""""","""",s3,"""",,Lorain News < ""'Seein' Things' At Lorain""",1908-02,event,https://rr0.org/time/1/9/0/8/index.html#1908-02
en.,"",sighting,1908-03$,,""""","""",s4,"""",,""Ship Has Narrow Escape From Meteor Falling At Sea / Master and Crew of Ocean on Reaching Philadelphia Tell of Unusual Experience Which Befell Them""",1908-03,event,https://rr0.org/time/1/9/0/8/index.html#1908-03
"en le mercredi 1 avril A , un aéronef en forme d'oeuf d'un métal inconnu, contenant 2 occupants venant de Mars, atterrissent en détresse et ne peuvent repartir (décrit comme canular)..","",sighting,1908-04$NotoddenNorvege,,,"",,"",Notodden (Norvège),place,""""","""",s5,"""",,FRI Presse,"""","""",s6,"""",,Syn Og Segn,"""","""",s7,"""",,BA,"""","""",s8,"""",,UFO-Observatøren,"""","""",s9,"""",,""A Meeting With A Meteor""",1908-04,event,https://rr0.org/time/1/9/0/8/index.html#1908-04
"en le mardi 30 juin le mardi 30 juin à 07:15 Explosion de Tunguska (Sibérie). le mardi 30 juin 5 h après cette explosion du bout du monde, la Grande-Bretagne est éblouie par un coucher de Soleil étincellant. Le Times relatera l'événement : la nuit est si claire que les londoniens peuvent lire leur journal dans la rue, à minuit, sans avoir recours à l'éclairage de la ville ! Un journaliste décrit ainsi cette nuit du 30 juin : Le ciel était clair comme en plein jour et sillonné de nuages de lumière rose ; de ma vie, je n'ai assisté à quelque chose d'aussi stupéfiant.","",sighting,1908-06$,,"",1908-06,event,https://rr0.org/time/1/9/0/8/index.html#1908-06
"en le samedi 11 juillet Le célèbre explorateur russe V. K. Arsenyev marche le long du fleuve Gobilli, quand il fait cette rencontre : Je vis une trace sur le sentier qui ressemblait à une empreinte de pas humain. Mon chien Alpha s'immobilisa, puis grogna, et soudain quelque chose remu tout près, se traînant d'un pas lourd au milieu des buissons. Pourtant, cette chose ne s'enfuit pas, elle s'arrêta juste à côté de nous, invisible, parfaitement statique. Nous restâmes ainsi pendant plusieurs minutes... Puis je me penchais, ramaissais une pierre et la lançais vers les buissons. Il se passa alors quelque chose d'inattendu : j'entendis un battement d'ailes. Quelque chose de grand et de noir émergea du brouillard et s'envola au-dessus de la rivière. Un instant plus tard, cette chose avait disparu dans la brume épaisse. Mon chien, complètement terrorisé, se blottit à mes pieds. Après le souper, je parlai de cet incident aux hommes et de la tribu Udehe. Ils se lancèrent dans un récit très animé à propos d'un homme qui pouvait voler dans les airs. Des chasseurs avaient souvent aperçu ses traces qui s'évanouissaient soudain, de telle manière que la seule explication possible était que ""l'homme"" s'était posé sur le sol avant de s'envoler de nouveau.","",sighting,1908-07$,,"""""""Petrenko, Yuri B."""""","""",s10,"""",,""Forerunner of the Flying 'Lady' of Vietnam ?"" FSR vol. 19",1908-07,event,https://rr0.org/time/1/9/0/8/index.html#1908-07
"en le mardi 29 septembre le soir A , des gens sont convaincus d'avoir vu un vaisseau aérien voguer dans les cieux au nord de la ville.","",sighting,1908-09$Huntington,,,"",,"",Huntington,place,"""""""""""""""Northern Indiana News and Gossip"""""""", Sentinel de Fort Wayne (Indiana), 1er octobre 1908, p. 3 < Flood, Chuck"""""","""",s11,"""",,""'Northern Indiana News and Gossip'",1908-09,event,https://rr0.org/time/1/9/0/8/index.html#1908-09
"en le samedi 17 octobre à 16 h A l'Est de , on voit au loin un objet aérien difficile à identifier.","",sighting,1908-10$DelphosOhio,,,"",,"",Delphos (Ohio),place,""""","""",s12,"""",,""Heard About Town""",1908-10,event,https://rr0.org/time/1/9/0/8/index.html#1908-10
en,"",sighting,1908-12$,,"",1908-12,event,https://rr0.org/time/1/9/0/8/index.html#1908-12
"Vue en coupe d'une machine de guerre aérienne dans une fiction d'anticipation A , John E. Flynn, Philip S. Prophett et d'autres personnes voient un objet sphérique noir portant des lumières stationner et survoler la ville.","",sighting,1908$BridgewaterMassachusetts,,,"",,"",Bridgewater (Massachusetts),place,"""""""Robida, Albert"""""","""",s13,"""",,La Guerre Infernale,"""","""",s14,"""",,",1908,event,https://rr0.org/time/1/9/0/8/index.html
