description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.places,place.org.parent.type,place.org.places,place.org.type,place.org.parent,place.place,place.org.parent.parent
en,"",1966-01,,"",1966-01,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-01
en,"",1966-02,,"",1966-02,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-02
en,"",1966-03,,"",1966-03,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-03
en,"",1966-04,,"",1966-04,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-04
en,"",1966-05,,"",1966-05,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-05
"Eté en en juillet en août Au Pérou, un ""objet extraterrestre"" arrive pour atterrir à la base aérienne de Talara.","",1966-06,,""""","""",s1,"""",El Chino,27,""Peruvian Air Force Conceals UFO Information""",1966-06,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-06
en,"",1966-09,,"",1966-09,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-09
en,"",1966-10,,"",1966-10,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-10
en,"",1966-11,,"",1966-11,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-11
en,"",1966-12,,"",1966-12,sighting,https://rr0.org/time/1/9/6/6/index.html#1966-12
