description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent,place.org.parent.places,place.org.parent.type,place.org.places,place.org.type,place.org.parent,place.place,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type
"en L'URSS annonce la prochaine dissolution du Comité Stolyarof. le lundi 22 janvier Lancement de Apollo 5, 1er essai du module lunaire dans l'espace. le jeudi 25 janvier En , le sous-marin israélien Davar, contenant 69 marins, et repéré pour la dernière fois au nord d'Alexandrie au sud-ouest de Chypre, disparaît. En Méditerranée, le sous-marin français Minerve disparaît avec 52 hommes dans les parages de Toulon. Des recherches sont entreprises, et l'on détecte au sonar une masse métallique immergée à un point cependant très éloigné de la route qu'aurait dû suivre le Minerve. On ne trouve sur place qu'un terrain sablonneux et vallonné, sans épave d'aucune sorte. Un peu plus tard, un écho est détecté plus précisément au sud du cap Cépet. Il s'agit à nouveau d'une masse métallique, situé à 134 m de profondeur et mesurant environ 8 m de large et 60 m de long. Ce peut être un sous-marin. De plus, la masse était sur la route du Minerve. Mais, malgré les recherches entreprises, notamment avec la soucoupe plongeante du commandant Cousteau, on ne trouve rien de plus que la caracasse d'un cargo. Un peu plus tard encore, un nouvel écho est reçu par sonar et localisé à 1,8 km au nord-ouest du premier, sans que l'on découvre quoi que ce soit. Les recherches durent en tout 5 jours et occupent la moitié de la totalité des moyens de la marine nationale en Méditérranée. Le contre-amiral Storelli, commandant des forces sous-marines, confirme que la marine nationale ne possède aucun élément nouveau et qu'elle est dans l'ignorance absolue de ce qui a pu se passer, étant donné la qualité des hommes, hors de tout reproche, et du matériel. D'autre part, le Minerve avait été vérifié comme cela se pratique à chaque changement de commandant et il était en parfait état (Le sous-marin Minerve sera retrouvé le dimanche 21 juillet 2019 à 2350 m de profondeur par le Seabed Constructor (navire américain privé) ).","",1968-01,Méditerranée,,,,"",,"",""""","""",s1,"""",""disparu en 1968, a été retrouvé au large de Toulon"""", Le Monde"",2019-07-22,""Le sous-marin la « Minerve »",1968-01,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-01
"en le dimanche 4 février A , observations. le vendredi 9 février Observation à Groveton (Missouri). le samedi 24 février Démission de Mary Louise Armstrong du projet Blue Book. le mardi 27 février Mort de Gagarine durant un vol d'entraînement. La Pravda publie de manière détaillée la position officielle : aucun objet n'avait été vu au-dessus du territoire de l'Union Soviétique qui n'ai été expliqué. L'Académie des Sciences soviétique va déclarer la recherche ufologique anti-scientifique : nul témoin crédible n'aurait jamais observé dans le ciel ces soucoupes issues de la propagande impérialiste. Déclaration du professeur Ziegel Y. Ziegel.","",1968-02,Redlands (Californie),,,,"",,"",""""","""",s2,"""",,12,,""""""Hobana, I."""",""""Weverbergh, Julien"""""","""",s3,"""",""Robert Laffont, 1976, p. 59"",61,Les Ovnis en URSS et dans les pays de l'est",1968-02,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-02
en,"",1968-03,,"",1968-03,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-03
en,"",1968-04,,"",1968-04,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-04
"en le vendredi 3 mai M. et Mme témoin circulent en voiture sur la route qui relie Chacomus à Matfu, dans la province de Buenos Aires. Ils sont à environ 20 km de la capitale de l'Argentine lorsqu'ils pénètrent dans une sorte de nuée épaisse, et perdent aussitôt connaissance. le dimanche 5 mai M. témoin reprend ses sens. Il fait jour et, comme il ne connait pas la région, avise un paysan et lui demande la route de Buenos Aires. Le paysan, interloqué, lui suggère doucement que, peut-être, c'est Mexico qu'il cherche ? M. Vidal doit se rendre à l'évidence : lui et sa femme se trouvent au Mexique, et 48 h après leur évanouissement. C'est-à-dire à environ 7500 km de distance de l'endroit où leur voiture a pénétré dans ce nuage, leur dernier souvenir. M. Vidal jette alors un regard plus précis sur la 403 : la peinture noire de la carrosserie a disparu, comme si elle avait été enlevée au chalumeau. Elle a dû être soumise à une très forte température. Mme Vidal recouvre ses sens un peu plus tard, et frise la crise de nerfs : Mais, alors qu'a-t-on fait de nous pendant ces 2 jours ? Entre les mains de quelles créatures étions-nous ? Lorsque le couple revient en Argentine, leurs amis poussent un soupir de soulagement, ayant crû à un accident. Il est matériellement impossible que le couple ait accompli le voyage Buenos Aires-Mexico en l'espace de 48 h : il aurait fallu traverser entièrement en voiture l'Amerique du Sud, l'Amérique centrale, sur des routes, des chemins et des pistes à peine carrossés et, cela, à la moyenne de 160 km/h. le mardi 21 mai Le sous-marin atomique américain Scorpion disparaît dans l'Atlantique avec 89 hommes à bord. Le dernier message du sous-marin datait de la veille. Malgré des avions, 8 sous-marins, 5 destroyers et 4 navires spécialisés dans les opérations de secours aux submersibles, les recherches ne donnent aucun résultat. On repère simplement une têche d'huile, comme il y en a de plus en plus dans l'Atlantique. A 1300 km des Açores, un peu au nord de la flaque d'huile, on observe un mystérieux objet orange qui, malgré les recherche, demeura introuvable par la suite.","",1968-05,,"",1968-05,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-05
"en le jeudi 6 juin Assassinat de Robert Kennedy. le jeudi 13 juin le jeudi 13 juin à 40 témoin (19 ans) souhaite bonne nuit à son fiancé et à quelques invités lorsqu'ils quittent le motel familial La Cuesta, à , sur la route 20, à 800 km à l'ouest de Buenos Aires. Son père est sorti pour la soirée. Elle éteint les lumières du motel, puis remarque une lueur dans le hall. C'est alors qu'elle se trouve en présence d'un homme blond, mesurant plus de 2 m, vêtu d'un habit moulant composé de brillantes écailles bleu ciel. Il tient dans sa main gauche une sphère, également de couleur bleu ciel, qui ne cesse de bouger. Souriant continuellement, il agite sa main droite, ornée d'un énorme anneau, face à elle. De la lumière jaillissait du bout de ses doigts et Maria se sent prise de léthargie, tout en ressentant de la gentillesse et de la bonté émaner de la créature. Dans le même temps, il marmonne dans une langue qui lui fait penser à du chinois. Maria est pétrifiée mais, au bout de quelques minutes, l'être se dirige lentement vers la porte latérale et sort. Maria s'évanouit. le jeudi 13 juin à 50 témoin est découverte par son père. Quelques instants auparavant, alors qu'il retournait à son domicile, il avait vu un objet, apparemment 45 m plus loin sur la route, qui dardait 2 brillant rayons de lumière rouge sur le motel. L'objet et les lumières disparurent quelques minutes plus tard. Le señor Pretzel courut à la maison où il vient de trouver Maria qui a perdu connaissance. Il lui faudra quelques jours pour se remettre de sa déchirante expérience. La police promettra d'enquêter sur l'événément mais ne transmettra jamais ses conclusions. le vendredi 21 juin Dernier vol d'un A-12, le #131, de Groom Lake à Palmdale et la totalité de la flotte est placée en un lieu de stockage secret.","",1968-06,Villa Carlos La Paz (Argentine),,,,"",,"",""""","""",s4,"""",,[object Object],,""""""Peebles, Curtis"""""","""",s5,"""",Presido Press,1995,Dark Eagles",1968-06,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-06
en,"",1968-08,,"",1968-08,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-08
"le Au km 21 de la , témoin (cultivateur, 22) va ramasser de l'herbe pour ses lapins dans une petite clairière dans un bois d'acacias (qui n'existe plus) quand il voit à 25 m environ, stationnaire à 4 ou 5 m du sol, un objet ovoïde aux extrêmités bleu foncé et au centre plus clair et transparent. Bien que gêné par la forte lumière émise par l'objet, il pense distinguer au centre, derrière un écran bleuté, 2 personnages vus de dos. Celui de gauche se retourne et fait face au témoin. Comme celui de droite, il semble enveloppé d'une sorte de combinaison à nervures boudinées, comme un bonhomme michelin. Le personnage de droite qui porte une sorte de casque tourne la tête vers le témoin, puis les 2 êtres se détournent à nouveau du témoin, qui ne voit alors plus qu'un éclair blanc aveuglant, ressentant un souffle chaud, avant de constater que la clairière est devenue vide. Le témoin s'approche du site mais ne trouve aucune trace. Il raconte son aventure à son épouse (institutrice), puis aux gendarmes de Saint-Pierre. Ceux-ci se rendront sur les lieux le lendemain, sans découvrir plus de traces..","",1968-07-31T09:00,plaine des Câfres (Réunion),,,,"",,"","""""""Figuet, M."""",al."","""",s6,"""",,,Le 1er dossier des rencontres rapprochées en France",1968-07-31T09:00,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-07-31T09:00
"en le samedi 14 septembre Une sonde soviétique sans équipage, Zand 5, est placée en orbite autour de la Lune. le dimanche 15 septembre , observation.","",1968-09,Ocala (Floride),,,,"",,"",""""","""",s7,"""",,12498,",1968-09,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-09
en,"",1968-10,,"",1968-10,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-10
"en le samedi 2 novembre à 04 h Le docteur X observe 2 objets fusionner devant sa maison. Il en restera physiquement affecté. Election de Richard Nixon à la présidence des Etats-Unis. le samedi 23 novembre , observation. le mardi 26 novembre 3 opérateurs d'une tour de contrôle du Dakota du Nord observent des mouvements suspects : Les 2 objets n'étaient que 2 points brillants de lumière blanche et on aurait pu les prendre pour des satellites si ce n'avait été leurs manœuvres soudaines, leurs changements de cap et leur disparition vertigineuse... L'un suivant un cap nord à 45° au-dessus de l'horizon, l'autre un cap sud à environ 30°. La lumière qui se dirigeait vers le sud a soudain exécuté un virage à 180°, s'est élevée, a rejoint l'autre objet, est demeurée en vol stationnaire dans ce qui semblait être une formation puis est partie vers le nord-est. Fin du mois vers 21 A écuelles (Seine-et-Marne), entendant leur chien aboyer dans la cour, M. et Mme Brière sortent de chez eux. Ils ne trouvent personne, ni dans la cour, ni sur la route, mais dans le ciel un globe de feu se déplaçant à bonne vitesse, silencieusement en direction de Melun. Il disparaît dans la nuit au bout de quelques s.","",1968-11,Newton (Georgie),,,,"",,"",""""","""",s8,"""",,12567,,""""""Hynek, Josef Allen"""""","""",s9,"""",""Robert Laffont, 1978"",70,Les Objets volants non identifiés,"""","""",s10,"""",,34,LDLN n° 296",1968-11,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-11
en,"",1968-12,,"",1968-12,sighting,https://rr0.org/time/1/9/6/8/index.html#1968-12
"Entre et Florianopolis, observation de Jean-Gabriel Greslé aux commandes d'un Boeing 707.","",1968,Rio de Janeiro,,,,"",,"","",1968,sighting,https://rr0.org/time/1/9/6/8/index.html
La NSA publie à usage interne un document intitulé "UFO Hypothesis and Survival Questions".,"",1968,,"",1968,sighting,https://rr0.org/time/1/9/6/8/index.html
"Sortie de 2001, L'Odyssée de l'espace de Stanley Kubrick.","",1968,,"",1968,sighting,https://rr0.org/time/1/9/6/8/index.html
Erik VonDäniken publie Chariots of the Gods ? qui sera un grand succès de ventes.,"",1968,,"",1968,sighting,https://rr0.org/time/1/9/6/8/index.html
"Richard Hall déclare : Au minimum il semble que l'on soit à l'aube de nouvelles découvertes excitantes sur l'atmosphère qui nous entoure. Nous pourrions même être au seuil d'un contact initial avec d'autres civilisations de l'espace. Les ""signes du ciel"" pourraient présager d'une autre grand révolution intellectuelle, une qui mène à une fascinante nouvelle perspective sur la relation de l'homme à d'autres formes de vie dans l'univers.","",1968,,"""""""Kottmeyer, Martin S."""""","""",s11,"""",The Anomalist,1998,""Still Waiting: A List of Predictions from the 'UFO Culture'""",1968,sighting,https://rr0.org/time/1/9/6/8/index.html
Le Dr. Jaakko Hiidenkari demande à l'architecte Matti Suuronen de concevoir un chalet de ski devant se situer à. Suuronen crée alors la maison Futuro.,"",1968,Janakkala (Finlande),,,,"",,"","",1968,sighting,https://rr0.org/time/1/9/6/8/index.html
