description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.org._parent,place.org.events,place.org.id,place.org.kind,place.org.places,place.org.type,place.org._parent._parent._parent._parent,place.org._parent._parent._parent.events,place.org._parent._parent._parent.id,place.org._parent._parent._parent.kind,place.org._parent._parent._parent.places,place.org._parent._parent._parent.type,place.org._parent._parent.events,place.org._parent._parent.id,place.org._parent._parent.kind,place.org._parent._parent.places,place.org._parent._parent.type,place.org._parent.events,place.org._parent.id,place.org._parent.kind,place.org._parent.places,place.org._parent.type,place.org._parent._parent,place.org._parent._parent._parent
"Couverture du n° 2 des Avon Fantasy Novels, intitulé La fille verte et racontant l'histoire d'un monde étrange sous la terre en","",sighting,1950-01$,,"",1950-01,event,https://rr0.org/time/1/9/5/0/index.html#1950-01
en,"",sighting,1950-02$,,"",1950-02,event,https://rr0.org/time/1/9/5/0/index.html#1950-02
en,"",sighting,1950-03$,,"",1950-03,event,https://rr0.org/time/1/9/5/0/index.html#1950-03
en,"",sighting,1950-04$,,"",1950-04,event,https://rr0.org/time/1/9/5/0/index.html#1950-04
en,"",sighting,1950-05$,,"",1950-05,event,https://rr0.org/time/1/9/5/0/index.html#1950-05
en,"",sighting,1950-06$,,"",1950-06,event,https://rr0.org/time/1/9/5/0/index.html#1950-06
en,"",sighting,1950-07$,,"",1950-07,event,https://rr0.org/time/1/9/5/0/index.html#1950-07
en,"",sighting,1950-08$,,"",1950-08,event,https://rr0.org/time/1/9/5/0/index.html#1950-08
Automne en en octobre en novembre France Soir publie en feuilleton Le Mystère des Soucoupes Volantes de Frank Scully.,"",sighting,1950-09$,,""""","""",s1,"""",,1997,Chaloupek",1950-09,event,https://rr0.org/time/1/9/5/0/index.html#1950-09
Un"péril rouge" menace d'annihiler le monde en,"",sighting,1950-12$,,"",1950-12,event,https://rr0.org/time/1/9/5/0/index.html#1950-12
"Lors d'une rencontre aérienne à Longview, plus d'une centaine de personnes assistent aux évolutions de plusieurs disques métalliques.","",sighting,1950$,,"",1950,event,https://rr0.org/time/1/9/5/0/index.html
"Publication aux éditions Henry Holt du livre de Scully, Behind the Flying Saucers.","",sighting,1950$,,"",1950,event,https://rr0.org/time/1/9/5/0/index.html
Richard H. Hall entame sa carrière d'ufologue.,"",sighting,1950$,,"",1950,event,https://rr0.org/time/1/9/5/0/index.html
"Dans le Devon, un mouton a le cou tranché par la chute d'un bloc de glace de 7 kg.","",sighting,1950$,,"",1950,event,https://rr0.org/time/1/9/5/0/index.html
"Selon Betty Andreasson, une entité lui enlève son œil de son orbite. Puis une aiguille souple d'un blanc brillant reliée à un long tube argenté est poussée profondément à l'arrière de son orbite. L'aiguille a une de ces minuscules petites choses de verre à son extrémité. Elle ressent une minuscule secousse ; l'aiguille est enlevée, re-orientée et poussée ailleurs dans sa tête. À nouveau une secousse est ressentie comme si quelque chose avait été envoyé ou diffusé en moi. L'aiguille lumineuse est retirée et son œil replacé. Il n'est pas mentionné si la boule à l'extrémité de l'aiguille était toujours présente.","",sighting,1950$,,"""""""Régression hypnotique en 1980 < Fowler, Raymond E."""""","""",s2,"""",""Phase Two. Englewood Cliffs. Prentice-Hall, 1982, pp. 169-170"",,The Andreasson Affair",1950,event,https://rr0.org/time/1/9/5/0/index.html
