description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type
"Le Soleil se couche pour faire apparaître une nuit sans Lune. Il n'y a pratiquement pas de vent, et à l'Est du pays, la température est proche de 0° C.","",sighting,1989-11-29T16:45$,,"",1989-11-29T16:45,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T16:45
"à 17 Le gendarme J. de la brigade d' contrôle les passeports au poste frontière de l'autoroute E40, à Lichtenbush. Il apperçoit à travers les vitres de l'aubette un objet qui vole à très basse altitude, avec 2 ou 3 phares excessivement lumineux. Cet objet volant vient d'Allemagne et passe à environ 500 m du gendarme. La puissance exceptionnelle des phares attire son attention. Il pense d'abord à un hélicoptère, comme ceux qui circulent entre les hôpitaux d'Eupen et d'Aix-la-Chapelle, mais se demande directement pourquoi cet appareil vole si bas, avec des phares aussi puissants et à une vitesse anormalement lente. Elle n'est que de 60 ou 70 km/h. L'engin s'éloigne, en volant parallèlement à l'autoroute E40, du côté Est de celle-ci.","",sighting,1989-11-29T17:00$Eynatten,,,"",,"",Eynatten,"",place,""""","""",s1,"""",,""Vague d'OVNI sur la Belgique""",1989-11-29T17:00,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T17:00
"Un témoin exerçant une fonction officielle pour la ville d' part d'un point situé à l'intérieur de la ville pour se rendre à Eynatten. Un collègue est assis à côté de lui. Un peu au-delà de Kettenis, ils voient un objet volant, doté de phares très puissants. Il avance lentement vers Eupen, à droite de la route N68 et assez près de celle-ci. Le conducteur pense qu'il doit s'agir d'un hélicoptère, mais s'étonne de la lenteur du vol, de la très basse altitude, et surtout des phares excessivement lumineux. Croisant l'objet, il apperçoit clairement 3 faisceaux qui éclairent le sol et une forme triangulaire sombre. C'est un triangle à faible hauteur et large base, se déplaçant pointe en avant. En plus de ses 3 grands phares ronds, émettant une lumière blanche d'intensité constante, il y a un clignotant rouge, plus petit, quelque part sur l'axe de symétrie. Cette lampe clignote à une fréquence constante, entre 1 et 2 fois/s. L'étonnement du témoin est tel que, lorsqu'il est obligé de s'arrêter au feu rouge à Merois, il descend la vitre de la voiture pour vérifier s'il entend bien un bruit d'hélicoptère. Il n'entend rien et continue à observer de temps en temps cet objet dans son rétroviseur. Il voit qu'il reste du côté Est de la route N68.","",sighting,1989-11-29T17:13$EupenBelgique,,,"",,"",Eupen (Belgique),"",place,""""","""",s2,"""",,",1989-11-29T17:13,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T17:13
"à 17 A Schönefeld (Belgique), un peu au Sud-Est de Nispert, M. D., directeur d'école, range sa voiture chez lui quant il voit dans le ciel un objet qui se déplace lentement, avec de puissants phares. Il évolue à 100 ou 150 m du sol, mais à une distance d'environ 800 m. La forme de l'objet est imprécise. M. G. discerne cependant 3 ou 4 puissants phares blancs près de la périphérie et un clignotant jaune-orange au milieu. Il s'étonne du fait qu'il n'entend pas de bruit. Se disant qu'il doit quand même s'agir d'un avion, il rentre chez lui.","",sighting,1989-11-29T17:15$,,""""","""",s3,"""",,",1989-11-29T17:15,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T17:15
Observation des gendarmes d'Eupen (Belgique).,"",sighting,1989-11-29T17:20$,,"",1989-11-29T17:20,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T17:20
"Depuis , hauteur au nord-est d'Eupen, M. G. (ayant déjà fait une observation le 3 novembre) voit arriver un objet volant doté de 3 gros phares brillants disposés en triangle qui passe silencieusement à 200 ou 300 m de lui.","",sighting,1989-11-29T17:30$NispertBelgique,,,"",,"",Nispert (Belgique),"",place,""""","""",s4,"""",,",1989-11-29T17:30,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T17:30
"Le témoin de ayant rempli sa mission à , revient à Eupen et revoit le même objet. Il vole lentement, à petite distance de la route N68, du côté Est de celle-ci. Les phares sont toujours aussi brillants et dirigés vers le bas, mais à un moment donné, l'objet prend un virage vers l'ouest. Le témoin perd l'objet de vue et s'occupe de sa mission. Le déchargement à Eupen est terminé vers 17:45.","",sighting,1989-11-29T17:13$Eynatten,,,"",,"",Eynatten,"",place,""""","""",s5,"""",,",1989-11-29T17:13,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T17:13
lorsqu'ils sont presque aveuglés par 3 lumières rasant leur véhicule. Ces lumières semblent attachées à un énorme triangle obscur. Ils suivent l'objet qu'ils voient faire du surplace au-dessus du barrage du. Plusieurs autres témoins confirmeront leur histoire.,"",sighting,1989-11-29$Gileppe,,,"",,"",Gileppe,"",place,""""","""",s6,"""",,",1989-11-29,event,https://rr0.org/time/1/9/8/9/11/29/index.html
"À , monsieur K., un technicien de centrale électrique regarde par hasard dans la direction de Ans et Bierset. Il note alors la présence d'un énorme triangle à large base et coins arrondis. Il porte 3 phares blancs, très lumineux, situés près des coins et un clignotant rouge au centre. Il est parfaitement immobile. Pour le témoin, il ne peut s'agir d'un AWACS. Il les connait bien puisqu'il habite près de la base de Bierset. Le médecin M. et son épouse observent également dans le ciel 3 points lumineux immobiles. Le témoin se trouve à ce moment à Alleur, près de l'échangeur de Loncin. Il gare son véhicule sur le côté de la chaussée, à un endroit dégagé. Ayant baissé la vitre, il n'entend qu'un léger bruit, sourd et continu, venant de l'objet. Les témoins ne voient pas le corps de l'objet, mais 3 grands phares, situés presque sur une même ligne horizontale, à environ 150 m du sol. L'objet s'est éloigné vers le Nord-Est. Mme L. se trouve également à Alleur.","",sighting,1989-11-29T18:00$Rocourt,,,"",,"",Rocourt,"",place,""""","""",s7,"""",,,"""","""",s8,"""",,",1989-11-29T18:00,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T18:00
"Mme L. découvre successivement 4 objets parés d'énormes lumières blanches. Ils arrivent de l'Est, en suivant l'autoroute E40. Leur lenteur et l'intensité des phares sont tout à fait anormales.","",sighting,1989-11-29T18:10$,,""""","""",s9,"""",,",1989-11-29T18:10,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T18:10
"Monsieur H. (ingénieur en construction aéronautique et PDG d'une société) s'approche de , sur l'autoroute E42. Il roule à vive allure sur la bande de dépassement, près de l'aérodrome de Bierset. Un objet volant, très éclairé, apparaît alors subitement devant lui, à environ 200 m du sol. A cause de la proximité de la base militaire de Bierset, il pense immédiatement que c'est un avion, muni de phares d'atterissage et se trompant de piste. L'objet descend droit vers lui. Le témoin focalise alors son attention sur 4 grandes surfaces rectangulaires, symétriques et horizontales, émettant une lumière vive, blanc jaunâtre. L'ensemble est plus large que l'autoroute et couvre toute la largeur du pare-prise de la Jaguar (180 cm). Le témoin n'arrive pas à discerner la forme exacte de l'engin, à cause de phares éblouissants. Quand l'objet volant passe au-dessus de la voiture, il ne fait pas de bruit d'avion. Il ne réapparaît pas non plus dans le rétrovisuer. Un peu avant d'arriver à l'échangeur de Loncin, le témoin fait une 2nde rencontre, identique à la 1ʳᵉ. Arrivé chez lui, il téléphone à la base de Bierset pour demander si un atterrissage avait eu lieu à ce moment-là. La réponse est négative.","",sighting,1989-11-29T18:40$Liege,,,"",,"",Liège,"",place,""""","""",s10,"""",,",1989-11-29T18:40,event,https://rr0.org/time/1/9/8/9/11/29/index.html#1989-11-29T18:40
