url,place,time,description,sources,id,place.name,place.org.name,place.org.surname,place.org.title,place.org.time,place.org.deprecated,place.org.note,place.org.place,place.org.description,place.org.sources,place.org.tags,place.org.image,place.org.id,place.org.dirName,place.org.url,place.org.events,place.org.type,place.org.parent,place.org.places,place.org.kind,place.place,place.org,place.place.name,place.place.surname,place.place.title,place.place.time,place.place.deprecated,place.place.note,place.place.place,place.place.description,place.place.sources,place.place.tags,place.place.image,place.place.id,place.place.dirName,place.place.url,place.place.events,place.place.type,place.place.parent,place.place.locations,place.place.elevation,place.org.parent.name,place.org.parent.surname,place.org.parent.title,place.org.parent.time,place.org.parent.deprecated,place.org.parent.note,place.org.parent.place,place.org.parent.description,place.org.parent.sources,place.org.parent.tags,place.org.parent.image,place.org.parent.id,place.org.parent.dirName,place.org.parent.url,place.org.parent.events,place.org.parent.type,place.org.parent.parent.name,place.org.parent.parent.surname,place.org.parent.parent.title,place.org.parent.parent.time,place.org.parent.parent.deprecated,place.org.parent.parent.note,place.org.parent.parent.place,place.org.parent.parent.description,place.org.parent.parent.sources,place.org.parent.parent.tags,place.org.parent.parent.image,place.org.parent.parent.id,place.org.parent.parent.dirName,place.org.parent.parent.url,place.org.parent.parent.events,place.org.parent.parent.type,place.org.parent.parent.parent.name,place.org.parent.parent.parent.surname,place.org.parent.parent.parent.title,place.org.parent.parent.parent.time,place.org.parent.parent.parent.deprecated,place.org.parent.parent.parent.note,place.org.parent.parent.parent.place,place.org.parent.parent.parent.description,place.org.parent.parent.parent.sources,place.org.parent.parent.parent.tags,place.org.parent.parent.parent.image,place.org.parent.parent.parent.id,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.url,place.org.parent.parent.parent.events,place.org.parent.parent.parent.type,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.parent,place.org.parent.parent
https://rr0.org/time/1/9/5/4/06/index.html,La Roche-sur-Yon (Yonne),,,,,,,,,,,,,,,,"",place,,"",,1954-06,"A , un témoin qui avait récemment aperçu dans la nuit une fusée lumineuse se dirigeant vers le nord, en voit une autre quelques jours plus tard, se dirigeant vers l'ouest.","Article de La Vendée Libre,s1,"""",6 juin 1954,",1954-06
https://rr0.org/time/1/9/5/4/06/index.html,,1954-06,La société Avro Canada émet un rapport intitulé Projet Y2: Gyroplane Supersonique Plat à Décollage Vertical.,"",1954-06
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-01T21:00,Minneapolis     (Minessota),,,,,,,,,,,,,,,,"",place,,"",,1954-06-01T21:00,"le A 400 miles au sud de , l'équipage d'un bombardier jet B-47 de l'USAF à une altitude de 34 000 pieds observe pendant 1 h un objet avec des lumières bougeantes voler entre 24 000 et 44 000 pieds.","Cas Blue Book n° 3029 non résolu,s2,"""",,",1954-06-01T21:00
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-08,Texarkana (Texas),,,,,,,,,,,,,,,,"",place,,"",,1954-06-08,"le (09?) en une heure plus tard (02:30?) A , L. T. Prewitt, un employé de Red River Arsenal, observe durant 2 mn une lumière jaune doré voler au-dessus de sa maison, faisant un ""shhh"" ou un bourdonnement.","Cas Blue Book n° 3037 non résolu,s3,"""",,",1954-06-08
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-09,East Dandenong (Australie),,,,,,,,,,,,,,,,"",place,,"",,1954-06-09,"le en juin 1954 à 18:20 A , Janet Brown (16 ans), et une amie (13 ans), entendent un bruit assourdissant, et voient un grand objet sombre qui devint éclatant de lumière. Il survole à 20 m de là, à la hauteur d'une porte d'usine. Il est cylindrique, a 10 m de long, 5 m de haut, avec une coupole sur le dessus. Il s'envole et est perdu de vue derrière des arbres. A Ridgeway (Ontario, Canada), M. et Mme Guy Baker voient un disque d'environ 14 m de diamètre, avec un dôme et plusieurs lumières tournantes. Ils doivent pousser leur voiture qui ne démarre pas tant que l'objet n'a pas décollé. Dans la pâture où il est stationné, ils trouvent une grande tache brune circulaire.","Wilkins U. 216,s4,"""",,",1954-06-09
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-10T21:09,Estacado (Texas),,,,,,,,,,,,,,,,"",place,,"",,1954-06-10T21:09,"le , le capitaine de l'USAF Bill McDonald est en vol. Il observe une lumière blanche descendre à 45° depuis une haute altitude, passer sous son appareil, faire un tour à 360° et s'en aller au bout de 30 s.","Cas Blue Book n° 3042 non résolu,s5,"""",,",1954-06-10T21:09
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-11,,1954-06-11,le L'astronome Percy Wilkins observe depuis un avion 3 objets en forme d'oeuf sortir des nuages.,"",1954-06-11
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-22T21:00,Miami Beach (Floride),,,,,,,,,,,,,,,,"",place,,"",,1954-06-22T21:00,"le , le major du corps de marine US E. Buchser et le major J. V. Wilkins observent durant 7 mn un objet semblable à un météore descendre, s'arrêter, et devenir extrêmement brillant.","Cas Blue Book n° 3062 non résolu,s6,"""",,",1954-06-22T21:00
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-24T12:45,Danvers (Massachusetts),,,,,,,,,,,,,,,,"",place,,"",,1954-06-24T12:45,"le R. B. Tomer, directeur de l'ingéniérie commerciale pour CBS-Hytron, observe un objet blanc, de forme elliptique, couvrir 45 % du ciel en 30 s.","Cas Blue Book n° 3067 non résolu,s7,"""",,",1954-06-24T12:45
https://rr0.org/time/1/9/5/4/06/index.html#1954-06-25T17:05,Indian Lake (Ohio),,,,,,,,,,,,,,,,"",place,,"",,1954-06-25T17:05,"le , le pilote privé expérimenté John Mark, pilote un planeur Navion. Le radar de l'aéroport de Dayton (Ohio) repère 1 phénomène très rapide à cet endroit. Le pilote observe pendant 3 à 5 mn un objet arrondi à la partie inférieure plate, argenté ou d'aluminium, surélevé à l'avant, avec un cone inversé au sommet, et d'un diamètre de 60 pieds environ vole horizontalement, plane, effectue une montée phénoménale et une ascension à pic vers les nuages.","Cas Blue Book n° 3072 non résolu,s8,"""",,",1954-06-25T17:05
