description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
,"",sighting,1996-01$,,"",1996-01,event,https://rr0.org/time/1/9/9/6/index.html#1996-01
"Pour 730 millions $, le constructeur de stations de travail Silicon Graphics se paye Cray Research, emblème mythique des superordinateurs. Un géant du calcul est né, détenant 43 % de ce marché. Face à ses comptes toujours déficitaires, Bull cède sa filiale ZDS au constructeur américain Packard Bell, dont il détient près de 20 %. NEC appuiera le développement de ce nouveau pôle micro.","",sighting,1996-02$,,"",1996-02,event,https://rr0.org/time/1/9/9/6/index.html#1996-02
,"",sighting,1996-03$,,"",1996-03,event,https://rr0.org/time/1/9/9/6/index.html#1996-03
"Folie des rachats à 4 milliards de $, c'est ce que débourse Cisco Systems, n°1 mondial de l'interconnexion pour absorber Stratacom, spécialiste de l'ATM et du relais de trames.","",sighting,1996-04$,,"",1996-04,event,https://rr0.org/time/1/9/9/6/index.html#1996-04
,"",sighting,1996-05$,,"",1996-05,event,https://rr0.org/time/1/9/9/6/index.html#1996-05
,"",sighting,1996-06$,,"",1996-06,event,https://rr0.org/time/1/9/9/6/index.html#1996-06
,"",sighting,1996-07$,,"",1996-07,event,https://rr0.org/time/1/9/9/6/index.html#1996-07
,"",sighting,1996-08$,,"",1996-08,event,https://rr0.org/time/1/9/9/6/index.html#1996-08
,"",sighting,1996-09$,,"",1996-09,event,https://rr0.org/time/1/9/9/6/index.html#1996-09
,"",sighting,1996-10$,,"",1996-10,event,https://rr0.org/time/1/9/9/6/index.html#1996-10
,"",sighting,1996-11$,,"",1996-11,event,https://rr0.org/time/1/9/9/6/index.html#1996-11
,"",sighting,1996-12$,,"",1996-12,event,https://rr0.org/time/1/9/9/6/index.html#1996-12
"Un sondage Gallup indique que 71 % des Américains pensent que le gouvernement américain en sait plus sur les ovnis qu'il veut bien le dire (45 % pensent que des ovnis ont effectivement visité la terre, et 12 % déclarent avoir vu un ovni). Sur le même sujet, après que les militaires américains aient proposé une explication élaborée de ce qui s'est réellement produit à Roswell (Nouveau-Mexique) 50 ans plus tôt, le public reste peu convaincu. Seulement 25 % des américains pensent que le gouvernement dit la vérité à ce sujet, malgré le fait qu'une majorité d'entre eux ne croit pas qu'il y a eu des ovnis à Roswell.","",sighting,1996$,,"",1996,event,https://rr0.org/time/1/9/9/6/index.html
"Les journalistes de l'émission télévisée Sightings comparent l'engin filmé par la caméra de sécurité de la base de Nellis (découvert en 1995) avec l'un des objets filmés au Mexique lors de l'éclipse de 1991. Considérant les 2 objets comme identiques, ils concluent que les ovnis aperçus au-dessus de Mexico pourraient faire partie d'un programme militaire secret de l'armée des USA.","",sighting,1996$,,"",1996,event,https://rr0.org/time/1/9/9/6/index.html
"FTM ouvre son service de transmission de données à 9,6 Kbps sur Itinéris, son réseau de téléphonie mobile à la norme GSM.","",sighting,1996$,,"",1996,event,https://rr0.org/time/1/9/9/6/index.html
"Compaq, n°1 mondial de la micro-informatique, annonce ses premiers produits réseaux (hubs et commutateurs).","",sighting,1996$,,"",1996,event,https://rr0.org/time/1/9/9/6/index.html
