description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.type
"en le mercredi 25 février Bataille de Los Angeles. le mercredi 25 février à 02:25 A , les sirènes conçues pour donner l'alerte en cas de raid aérien se mettent à hurler. Les groupes de D.C.A. sont en alerte. La panique s'installe dans la ville, qui fait un black-out. le mercredi 25 février à 03:16 Les batteries de l'artillerie anti-aérienne (AAA) commencent à tirer sur des engins non identifiés venant de l'océan, et que les faisceaux des projecteurs tentent de cerner dans le ciel. Il semble y avoir au moins 2 types d'engins impliqués dans l'incident. Les témoins voient de petits objets volant à haute altitude, de couleur rouge ou argentée, se déplaçant à vive allure, qui apparaissent en formation puis semblent se frayer un chemin à travers les salves de l'AAA à une allure allant jusqu'à 8 km/s — soit 29000 km/h. Il y a également un grand objet qui demeure quelque temps stationnaire, puis est pris dans le feu des projecteurs au-dessus de Culver City, et dès lors se déplace à une allure constante de 100 km/h jusqu'à la côte de Santa Monica et puis au sud, en direction de Long Beach, avant qu'on ne le perde de vue. Ce grand objet a, d'après les rapports, été atteint de nombreux projectiles. L'AAA continue à le mitrailler. le mercredi 25 février à 04:14 L'AAA stoppe de mitrailler. Aucune bombe n'a été lancée par les appareils inconnus et aucun appareil n'a été abattu. le jeudi 26 février Le général George Catlett Marshall fait son rapport au président Franklin Delano Roosevelt quant aux incidents de la veille à Los Angeles.","",sighting,1942-02$LosAngelesCalifornie,,,"",,"",Los Angeles (Californie),place,"",1942-02,event,https://rr0.org/time/1/9/4/2/index.html#1942-02
"en le samedi 14 mars Objets lumineux photographiés au milieu d'une formation d'avions de reconnaissance Tahikawa Ki 36 le samedi 14 mars à 17:35 A la base aérienne secrète de le poste de guet donne l'alarme ; les hommes se rendent à leurs postes de combat, les pilotes à leurs appareils. A la binoculaire, les observateurs aperçoivent un engin se rapprochant silencieusement. Le Hauptmann Fischer (ingénieur dans le civil) décolle sur un Messerschmitt 109 (de chasse) pour l'intercepter. A 3500 m d'altitude il s'en approche, l'observe, et en donne une description en phonie : c'est un énorme corp fuselé, sans aucun plan de sustentation, sans aucune ouverture visible ; sa longueur est d'environ 100 m et son diamètre d'environ 15 m ; à une extrémité un groupe de tiges ressemblant à des antennes radar. La baleine aérienne comme le surnomme aussitÖt le capitaine Fischer, se maintient horizontalement ; brusquement elle monte verticalement à grande vitesse et disparaît ; le pilote conclut qu'il ne peut s'agir d'un engin fabriqué de main d'homme. Le rapport est signé du capitaine Fischer, contre-signé du commandant de base. Quand, à Berlin, le Maréchal de l'Air Hermann Goering en prend connaissance, il en conclut que la dure solitude du Grand Nord a joué un sale tour à son pilote (apparemment un canular).","",sighting,1942-03$BanakprovinceDeFinnmarkNorvege,,,"",,"","Banak (province de Finnmark, Norvège)",place,""""","""",s1,"""",,Jean-Luc Chaumeil,"""","""",s2,"""",,Rapport adressé à l'Oberkommando der Luftwaffe,"""","""",s3,"""",,Durrant 1970,"""","""",s4,"""",,OVNI présence,""Liljegren"","""",s5,"""",,A bibliography of references to UFO incidents during World War II",1942-03,event,https://rr0.org/time/1/9/4/2/index.html#1942-03
en Couverture de Amazing Stories ce mois-là,"",sighting,1942-06$,,"",1942-06,event,https://rr0.org/time/1/9/4/2/index.html#1942-06
"en Près de , on croit observer des parachutistes.","",sighting,1942-07$HydeParkNewYork,,,"",,"",Hyde Park (New York),place,""""","""",s6,"""",,""Cackling Out Of Turn""",1942-07,event,https://rr0.org/time/1/9/4/2/index.html#1942-07
"en Dans les Salomon, le sergent-chef Stephen Brickner signale 150 ovnis volant en formation rectangulaire, 15 sur la longueur et 10 sur la largeur.","",sighting,1942-08$,,"",1942-08,event,https://rr0.org/time/1/9/4/2/index.html#1942-08
"Photographie à Tientsien (province de Hopeh, nord de la Chine). Une lampe semblable à celle de la photo de Jack LeMonde à la même époque ? Photographie à. Masujiro Kiru a trouvé cette photo dans l'album de son père de la Campagne de Chine juste avant la 2nde guerre mondiale. Son père l'avait lui-même achetée à un photographe de Tientsien, apparemment juste après qu'elle soit prise.","",sighting,1942$TientsienProvinceDeHopehNordDeLaChine,,,"",,"","Tientsien, province de Hopeh, Nord de la Chine",place,""""","""",s7,"""",,Masujiro Kiru",1942,event,https://rr0.org/time/1/9/4/2/index.html
"2 jeunes aviateurs en simple mission de surveillance prennent l'air en dirigeable pour patrouiller le long de la côte Californienne. Plus tard, 2 pêcheurs aperçoivent l'appareil dérivant, la porte de la gondole ouverte. Il n'y a plus personne à bord. Après enquête, on apprend que le dirigeable est entièrement sorti au-dessus des nuages et a été aperçu par un avion, puis il y est redescendu. 4 navires l'ont vu survoler une tache d'huile suspecte et remonter brusquement dans les nuages.","",sighting,1942$,,"",1942,event,https://rr0.org/time/1/9/4/2/index.html
"en A près de Newbiggin-by-the-Sea, Northumberland, lors d'une nuit anormalement froide, Albert Lancashire (27 ans), armé d'un fusil avec baïonnette au canon, garde une base radar sur la cÖte de la Mer du Nord. Une lumière apparaît à l'horizon, puis disparaît derrière un nuage. Ensuite apparaît une 2nde lumière, jaune, apparemment un rayon dardé depuis le rebord d'un objet circulaire. Le rayon, d'environ 30 cm de diamètre, oscille alentour puis darde sur le visage de Lancashire. Le soldat lâche son fusil et lève les mains. Il ressent une étrange sensation de flottement et perd connaissance. Lorsqu'il revient à lui quelques mn plus tard, il gît à quelques mètres de l'endroit où il avait vu la lumière. Il demeure choqué et hébété durant 5 ou 10 mn avant de se sentir pleinement remis et à même de reprendre sa veille. Durant les années qui suivirent cet incident, Lancashire fera un certain nombre de rêves bizarres. Dans l'un d'eux, il se souviendra avoir été à bord de l'objet qu'il vit, et avoir observé la mer en contrebas depuis une large fenêtre ; un homme en blanc lui disait qu'il avait fallu l'embarquer à bord de l'engin. Dans un autre rêve, Lancashire, était encore dans l'appareil et rencontrait une femme rousse, vêtue d'une jupe s'arrêtant aux mollets à la mode cette année-là) qui lui tendait une paire de lunettes. Des années plus tard, Lancashire en vint à penser que la meilleure explication pour son expérience de 1942 était qu'il avait été enlevé par des extraterrestres. Il ne rapporta l'incident qu'à partir de ses 70 ans. Au-dessus de la Mer du Japon Un bombardier Sally impérial japonais, en mission au-dessus de la Mer du Japon, est approché par un petit objet sphérique sombre qui vole autour et entre les appareils en formation. Un caméraman-tireur en alerte prend une photographie (ci-contre). le jeudi 17 septembre à 10:30 Le général Brehon Somervell indique au colonel Leslie Richard Groves que son affectation hors du territoire américain est annulée, et l'affecte au projet Manhattan. le vendredi 18 septembre Groves ordonne l'achat de 1250 t d'uranium de haute qualité provenant du Congo Belge. le samedi 19 septembre Groves achête 52 000 acres de terrain pour le futur site de Oak Ridge. le mercredi 23 septembre Groves est promu brigadier-général.","",sighting,1942-09$CresswellAngleterre,,,"",,"",Cresswell (Angleterre),place,""""","""",s8,"""",,Mysterious Britain",1942-09,event,https://rr0.org/time/1/9/4/2/index.html#1942-09
"en le samedi 3 octobre Après 2 tentatives infructueuses, troisième lancement réussi d'un V-2. le jeudi 15 octobre Groves demande à Robert Julius Oppenheimer de prendre la direction du projet Y, le nouveau laboratoire central de recherche physiques pour conception d'armes.","",sighting,1942-10$,,"",1942-10,event,https://rr0.org/time/1/9/4/2/index.html#1942-10
en Observation en.,"",sighting,1942-11$countryno,,,"",,"",,place,"",1942-11,event,https://rr0.org/time/1/9/4/2/index.html#1942-11
