description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent,place.org.parent.places,place.org.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type
"en en un mois plus tard Observation (ci-contre) à. Observation de janvier à Mahwah Une épaisse couche de nuages gêne la navigation d'un chasseur bombardier F-111 de l'USAF qui vole vers Mobile (Alabama). Au-dessus de la Louisiane, à l'Est de Grand Isle, le pilote pénètre en effet dans une formation nuageuse. Il demande alors au contrôle régional de Houston (Texas) l'autorisation de prendre de l'altitude. Après être sorti des nuages, tout s'annonce bien. Le pilote déclare qu'il va dorénavant voler à vue, la visibilité étant parfaite. On n'en entendra plus jamais parler. Coral E. Lorenzen fait une visite au siège du NICAP lors d'un voyage sur la côte Est. Bien que non prévue comme une réunion de travail, la session touche au futur des 2 groupes et des nouvelles approches possible de l'étude des ovnis. le janvier Début de la mission Apollo 14. Les astronautes du module Antares, observent un énorme objet dont les hublots réfléchissent une lumière très vive alors qu'ils survolent les cratères Landsberg A et C. Ils rapportent une série d'images de cette expérience.","",1971-01,Mahwah (USA),,,,"",,"",""""","""",s1,"""",,1971-01,UFO Investigator,"""","""",s2,"""",NICAP UFO Investigator,1972-06,""NICAP and APRO Take Major Step Toward Improved Relations"",""""""Dean, Robert O."""""","""",s3,"""",,,",1971-01,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-01
en,"",1971-02,,"",1971-02,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-02
en Fin de l'opération Aeneid.,"",1971-03,,"",1971-03,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-03
"en La Terre et la Lune tremblent ensemble. Grâce aux sismographes déposés par les équipages Apollo, dont le centre spatial de Houston suit étroitement les réactions par télémesure, on enregistre des séismes simultanés. en 19 Lancement de la 1ʳᵉ station orbitale.","",1971-04,,"",1971-04,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-04
"Pâques 1500 personnes, dont des journalistes, s'assemblent pour ""l'atterrissage des extraterrestres"". Devant l'absence de leur apparition, l'organisateur Paul Solem (contacté par des vénusiens qui lui avaient annoncé 4 grandes démonstrations dont celle-ci en plein jour) blâme les bulldozers sur le site d'atterrissage. Il annulera les 3 autres démonstrations.","",1971,,"",1971,sighting,https://rr0.org/time/1/9/7/1/index.html
"en Un mystérieux objet céleste de taille planétaire, n'entrant dans aucune catégorie connue, est découvert dans la Constellation du Cygne par des astronomes japonais et américains. On le baptise ""Cygne XI"". Alan Vaughan prédit qu'un vaisseau spatial dq>forme du soleil et contrôlé par une forme de super-intelligence atterrirait sur Terre avant 1976. Photographie le 23 mai en Autriche en 23 Observation (ci-contre) à.","",1971-05,Deutschlandsberg Steiremark  (Autriche),,,,"",,"","""""""Kottmeyer, Martin S."""""","""",s4,"""",The Anomalist,1998,""Still Waiting: A List of Predictions from the 'UFO Culture'""",1971-05,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-05
"en en 7 dans le faubourg de avec observation de 3 humanoïdes Près du pont enjambant le cañon Del Oro (Arizona), 2 promeneurs découvrent le corps de James E. McDonald. Un révolver de calibre 39 se trouve près de lui, ainsi qu'une note. en 23 A Londres (UK), le comité des assurances Lloyd's se réunit pour déclarer officiellement perdu corps et biens un navire vapeur de 3750 t, le Kiki, dont le port d'attache est Chypre, et dont on a retrouvé aucune trace. en 25 A Javingue (Province de Namur en Belgique)","",1971-06,Rosedale (Province d’Alberta au Canada),,,,"",,"","""""""Gaston, P."""""","""",s5,"""",""chap. 1 de Disparitions Mystérieuses, 1973"",19,""De formidables énigmes sur la mer"",""Inforespace"","""",s6,"""",,12,",1971-06,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-06
"Eté en en 6 A , la mère de M. témoin entend un grand bruit. Son fils, par la fenêtre de sa chambre grande ouverte, voit une lueur bleue d'abord lointaine mais qui s'approche rapidement, en même temps qu'un bruit de plus en plus intense se fait entendre. Le phénomène, de couleur bleu-néon assez pâle, fatiguant la vue, plus clair vers le milieu, passe à 10 m du témoin qui distingue une fumée grise qui s'échappe par derrière, formant une petite queue. A l'avant, il distingue 2 phares ou fenêtres de couleur bleu très foncé et très brillantes (?). en 26 Lancement de la mission Apollo 15. en 30 Les astronautes de la mission Apollo 15 se posent dans la Mer des Pluies. Suite à la mort de McDonald, un article paraît dans Astronautics and Aeronautics, décrivant une observation détaillée. en août Au Brésil, une pluie de haricots africains s'abat sur une ferme.","",1971-07,Luçon (Vendée),,,,"",,"","""""""Figuet, Michel"""",""""Ruchon, Jean-Louis"""""","""",s7,"""",Alain Lefeuvre,1979,OVNI: Le premier dossier complet des rencontres rapprochées en France",1971-07,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-07
"en en 4 Photographie aérienne au Costa Rica d'un étrange disque volant par un avion de l'institut géographique volant à 3200 m d'altitude au-dessus de la région du lac de Cote. En 1989, le scientifique américain Richard F. Haines et l'ufologue Jacques Vallée pourront procéder à une série d'analyses approfondies et d'études photométriques sur le négatif noir et blanc original afin de déterminer la nature de l'ovni photographié. Au Cambodge, plusieurs groupe des forces spéciales rencontreraient des humanoïdes non humains et parfois leur vaisseau. Un certain ""Joe"" témoignera de sa rencontre. Lors du Congrès International de sur la possibilité de l'existence de civilisations extraterrestres et les méthodes pour communiquer avec elles, des scientifiques soviétiques proposent de faire exploser des bombes thermonucléaires dans des zones proches de la Galaxie où une vie intelligente aurait pu se développer afin de signaler l'existence des terriens. Des scientifiques américains étaient étaient également invités. en 16 4 astronomes de l'observatoire Saint-Michel-de-Provence (Alpes de Haute-Provence) suivent l'évolution d'un petit disque brillant de couleur jaune orangé dont la présence est confirmée par la station-radar de Marignane. Près de Öjebyn (Nord de la Suède), dans la soirée, un automobiliste se trouve soudain entouré d'intenses rayonnements lumineux. Les phares de la voiture s'éteignent et les freins cessent de fonctionner. La pression atmosphérique semble augmenter. Puis les rayons disparaissent et le conducteur voit un objet sombre décoller d'un champ distant de 1 km. La voiture redémarre. L'objet la suit pendant environ une minute, puis disparaît vers le sud.","",1971-09,Biurakan (Arménie),,,,"",,"",""""","""",s8,"""",,[object Object],",1971-09,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-09
en,"",1971-10,,"",1971-10,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-10
en,"",1971-11,,"",1971-11,sighting,https://rr0.org/time/1/9/7/1/index.html#1971-11
