description,events,eventType,id,place,sources,time,type,url,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.type
"le Couverture de Fate ce mois-ci À , photographie d'une formation d'ovnis ovales.","",sighting,1957-12-01$LosAngelesCalifornie,,,"",,"",Los Angeles (Californie),place,""""","""",s1,"""",,UFO Evidence",1957-12-01,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-01
"le Une année après son observation d'ovni arrangée par un étranger qui était entrée dans son magasin du , ce dernier refait son apparition. Cette fois Whitworth amène un convoi de journalistes avec lui à l'endroit convenu. Rien. Un appel anonyme explique qu'il n'aurait pas dû amener toute une foule.","",sighting,1957-12-02$BedfordshireAngleterre,,,"",,"",Bedfordshire (Angleterre),place,"""""""Kottmeyer, Martin S."""""","""",s2,"""",,""Still Waiting: A List of Predictions from the 'UFO Culture'""",1957-12-02,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-02
"le A , Cat. 3. Friture sur la radio alors que plusieurs ovnis sont vus dans les environs. Près d'Ellensburg (Washington), Cat. 3. Un moteur de camion ""s'arrête presque"", caught again, alors qu'un ovni est observé. Observation confirmée par la police.","",sighting,1957-12-03$CobaltOntarioCanada,,,"",,"","Cobalt (Ontario, Canada)",place,"",1957-12-03,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-03
Photographie de Fogl.,"",sighting,1957-12$,,"",1957-12,event,https://rr0.org/time/1/9/5/7/12/index.html
"le et le lundi 9 Des F-86 A Sabre équipés de 6 caméras filment 16 engins de 50 x 10 m, en formation en ""V"". 2 autres approches sont filmées.","",sighting,1957-12-07$,,"",1957-12-07,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-07
"le Près de , Cat. 3. Des automobiles calent, leurs phares clignotent et s'éteignent, alors qu'un grand phénomène flamboyant passe au-dessus d'elles.","",sighting,1957-12-08$CouleeCityWashington,,,"",,"",Coulee City (Washington),place,"",1957-12-08,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-08
"le le mercredi 11 22 h A et Parkersburg (Virginie occidentale) des pilotes de l'USAF de 3 F-86 avec le 87ème Escadron de Chasseurs voit 1 phénomène orange circulaire ou en forme de croissant se déplacer de manière erratique à Mach 1,5 (près de 1000 miles/h) sans être repéré au radar. Lake City AFS (Tennessee).","",sighting,1957-12-11$GuthriePennsylvanie,,,"",,"",Guthrie (Pennsylvanie),place,""""","""",s3,"""",,Blue Book Unknowns,"""","""",s4,"""",,,"""","""",s5,"""",,McDonald list,"""","""",s6,"""",,Blue Book Unknowns,"""","""",s7,"""",,McDonald list",1957-12-11,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-11
"le Couverture de Amazing Stories ce mois-là, montrant de ""petits hommes verts"" sortant d'une soucoupe, et titrant sur ""Sortez de notre ciel"" A , un pilote de Trans-Canada Airlines et de nombreux policiers voient un ovale orange faisant une courbe rapidement à basse altitude.","",sighting,1957-12-12$ChathamWindsorCanada,,,"",,"","Chatham (Windsor, Canada)",place,""""","""",s8,"""",,UFO Evidence",1957-12-12,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-12
le à le dimanche 15 observation radar-visuelle d'un ovni aux couleurs variables. Des avions de chasse sont envoyés.,"",sighting,1957-12-12$MisawaChitoseHokkaidoJapon,,,"",,"","Misawa Chitose (Hokkaido, Japon)",place,""""","""",s9,"""",,Blue Book Unknowns,"""","""",s10,"""",,UFO Evidence,"""","""",s11,"""",,McDonald list,"""","""",s12,"""",,FUFOR Index",1957-12-12,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-12
"le R. C. Cano voit durant 20 mn 14 ou 15 disques effilés et très brillants voler en formation, d'abord comme une pile de pièces de monnaie, puis changer en une formation en ""V"" inversée.","",sighting,1957-12-13T09:35$ColAnahuacMexique,,,"",,"",Col Anahuac (Mexique),place,""""","""",s13,"""",,Cas Blue Book n° 5545 non résolu < Berliner,"""","""",s14,"""",,",1957-12-13T09:35,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-13T09:35
"le , ovni elliptique avec ""ouvertures"".","",sighting,1957-12-16$OldSaybrookConnecticut,,,"",,"",Old Saybrook (Connecticut),place,""""","""",s15,"""",,UFO Evidence",1957-12-16,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-16
"le près de Grand Junction (Colorado), F. G. Hickman (17 ans) voit 1 objet rond passer du jaune au blanc puis au rouge ; sa queue est 2 fois plus longue que son corps. Il s'arrête, redémarre, recule durant 45 mn.","",sighting,1957-12-17T19:20$Fruita,,,"",,"",Fruita,place,""""","""",s16,"""",,Cas Blue Book n° 5559 non résolu < Berliner",1957-12-17T19:20,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-17T19:20
"le , Cat. 3. survol par une source lumineuse blanche, interférences TV remarquées.","",sighting,1957-12-18$SarasotaFloride,,,"",,"",Sarasota (Floride),place,"",1957-12-18,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-18
le À la base aérienne de.,"",sighting,1957-12-19$PepperrellNewfoundlandCanada,,,"",,"","Pepperrell (Newfoundland, Canada)",place,""""","""",s17,"""",,Blue Book Unknowns,"""","""",s18,"""",,McDonald list",1957-12-19,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-19
le En mer du Japon.,"",sighting,1957-12-23$,,""""","""",s19,"""",,Blue Book Unknowns,"""","""",s20,"""",,McDonald list,"""","""",s21,"""",,FUFOR Index",1957-12-23,event,https://rr0.org/time/1/9/5/7/12/index.html#1957-12-23
"Dans l'Océan Pacifique, photographie d'un supposé ovni en forme de disque.","",sighting,1957-12$,,""""","""",s22,"""",,UFO Evidence",1957-12,event,https://rr0.org/time/1/9/5/7/12/index.html
