description,events,eventType,id,place,place.dirName,place.elevation,place.events,place.id,place.locations,place.name,place.sources,place.type,sources,time,type,url
", plusieurs témoins vont apercevoir durant 3 s une lueur particulière. Passant très rapidement au-dessus d'eux, ils voient 1 boule de couleur verte suivie d'un flux conique allant de la couleur jaune clair au rouge éclatant. Ce phénomène d'une grande beauté reste silencieux (Bien que divers éléments fassent penser à une rentrée atmosphérique, aucune autre information n'a pu être recueillie sur ce phénomène).","",sighting,1985~-02~-01~T18~:00$BozelSavoie,,,"",,"","Bozel, Savoie","",place,"""GEPAN"","""",s1,"""",,PAN classé C",1985~-02~-01~T18~:00,event,https://rr0.org/time/1/9/8/5/02/index.html#1985~-02~-01~T18~:00
"dimanche 3lundi 4 23 h (début du mois) A , plusieurs témoins voient 1 forme quasi circulaire émettant de la lumière blanche et des lumières clignotantes rouges et vertes. Le phénomène se déplace à une vitesse élevée. Lors d'une observation, ce phénomène qui se déplace va s'immobiliser puis de déplacer sur la gauche, s'immobiliser à nouveau avant de revenir à sa position initiale. Un phénomène lumineux de même type sera apercu dans les Ardennes et en Espagne les 2, 3 et 4 février. Ces observations seront largement commentées par la presse.","",sighting,1985-02-02$AldudesPyreneesAtlantiques,,,"",,"","Aldudes, Pyrênées Atlantiques","",place,"""GEPAN"","""",s2,"""",,PAN classé D",1985-02-02,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-02
"et lundi 18 21:30, plusieurs témoins voient dans le ciel un phénomène lumineux silencieux : une boule beaucoup plus importante qu'une étoile se déplace lentement à faible altitude. D'une forme circulaire et de couleur blanche très brillante, cette boule disparaitra très rapidement du champ de vision des témoins qui auront tout de même pris le temps de filmer le phénomène (L'hypothèse concernant l'observation d'une planète ou d'une étoile n'a pu être validée en raison du manque d'informations recueuillie).","",sighting,1985-02-13$LannilisFinistere,,,"",,"","Lannilis, Finistère","",place,"""GEPAN"","""",s3,"""",,PAN classé C",1985-02-13,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-13
", 1 témoin, seul dans son appartement au 3ᵉ étage, aperçoit une étoile particulière blanche et jaune. Soudain une sphère de couleur verte vient s'adjoindre à l'étoile. Le phénomène disparait à l'horizon sans émettre de bruit.","",sighting,1985-02-14T22:00$TourcoingNordPasDeCalais,,,"",,"","Tourcoing, Nord-Pas de Calais","",place,"""SEPRA"","""",s4,"""",,PAN classé C",1985-02-14T22:00,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-14T22:00
", plusieurs témoins voient 1 très grosse étoile très brillante qui change progressivement de couleur et disparaît rapidement à l'horizon (Il s'agissait en fait de l'observation de la planète Vénus, particulièrement visible en cette période de l'année grâce à des conditions climatiques particulières).","",sighting,1985-02-17T21:30$OuzouersurLoireLoiret,,,"",,"","Ouzouer-sur-Loire, Loiret","",place,"""SEPRA"","""",s5,"""",,PAN classé A",1985-02-17T21:30,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-17T21:30
", 2 témoins observent une boule lumineuse jaune et très brillante qui change de couleur pour devenir rouge vif. Durant 20 mn les témoins observent un phénomène stationnaire et silencieux qui disparaîtra progressivement. Le témoin principal ainsi que plusieurs autres personnes pourront également faire cette observation les nuits suivantes (Il s'agit probablement de l'observation d'une étoile particulièrement bien visible dans le ciel dégagé de ces nuits d'hiver).","",sighting,1985-02-21T22:00$BaisMayenne,,,"",,"",Bais (Mayenne),"",place,"""GEPAN"","""",s6,"""",,PAN classé B",1985-02-21T22:00,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-21T22:00
", plusieurs témoins voient dans le ciel étoilé et clair un phénomène lumineux particulier. D'un noyau de couleur vert se détachent des flèches vertes ; des lumières rouges clignotent également régulièrement du noyau. Le déplacement du phénomène lumineux est lent et l'observation durera environ 1 heure (Suite à un appel à témoin lancé dans la presse locale, un témoin d'une observation similaire ayant eu lieu le 31 janvier se manifestera. Les données recueillies n'ont pas été suffisantes pour analyser l'hypothèse d'une observation astronomique).","",sighting,1985~-02~-22~T19~:40$AbondanceHauteSavoie,,,"",,"",Abondance (Haute-Savoie),"",place,"""GEPAN"","""",s7,"""",,PAN classé C",1985~-02~-22~T19~:40,event,https://rr0.org/time/1/9/8/5/02/index.html#1985~-02~-22~T19~:40
", plusieurs témoins dans un même secteur voient tomber 1 boule rouge rosé : une explosion est également entendue (L'enquête démontrera qu'il s'agissait des effets d'une fusée de détresse lancée sans intention particulière par une personne, les témoins ayant vu la fumée rouge rosé de la fusée puis le parachute en dérive avec le vent).","",sighting,1985-02-24T19:30$FalaiseCalvados,,,"",,"",Falaise (Calvados),"",place,"""GEPAN"","""",s8,"""",,PAN classé A",1985-02-24T19:30,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-24T19:30
", 2 agriculteurs découvrent dans un champ un cylindre mystérieux.","",sighting,1985-02-25$SaintSulpiceDeRoyanCharenteMaritimePoitouCharentes,,,"",,"","Saint Sulpice de Royan (Charente-Maritime, Poitou-Charentes)","",place,"",1985-02-25,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-25
Observation similaire à cette du vendredi 22 19:40.,"",sighting,1985-02-31$,,"""GEPAN"","""",s9,"""",,PAN classé C",1985-02-31,event,https://rr0.org/time/1/9/8/5/02/index.html#1985-02-31
