description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent,place.org.parent.places,place.org.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent.places,place.org.parent.parent.parent.type
le peu après minuit L'officier de police et patrouilleur Herbert Schirmer rencontre des créatures à l'extérieur de Ashland (Nebraska).,"",1967-12-03,,"",1967-12-03,sighting,https://rr0.org/time/1/9/6/7/12/index.html#1967-12-03
le Le New York Times annonce que l'URSS établit un projet gouvernemental pour étudier les ovnis (le Comité Stolyarov).,"",1967-12-10,,"",1967-12-10,sighting,https://rr0.org/time/1/9/6/7/12/index.html#1967-12-10
La DIA obtient un MIG 21 qu'elle fournit à Groom Lake pour essais et nomme le programme Have Doughnut. C'est le début d'un programme de tests de MIG qui se poursuit probablement à ce jour.,"",1967-12,,""""","""",s1,"""",""Curtis, Dark Eagles, Presido Press"",1995,Peebles",1967-12,sighting,https://rr0.org/time/1/9/6/7/12/index.html
"Le magazine True publie Le rapport True sur les soucoupes volantes sous la houlette de figures proéminentes de l'ufologie, dont Donald Keyhoe, et contenant des photos exclusives récoltées par le projet Blue Book, après 17 ans d'étude sur le sujet.","",1967-12,,"",1967-12,sighting,https://rr0.org/time/1/9/6/7/12/index.html
"Les Ummites engagent leurs premiers longs dialogues téléphoniques. La plupart des contactés, dont l'essentiel du groupe de Madrid, prennent littéralement la fuite, dont Dominguez, Aguire et bien d'autres. A Barcelone, Barranechea lâche son vieux compagnon Farriols.","",1967-12,,""""","""",s2,"""",,,,"""","""",s3,"""",,,",1967-12,sighting,https://rr0.org/time/1/9/6/7/12/index.html
le Lyndon Baines Johnson presse l'interrupteur de l'arbre de Noël de la Maison Blanche. Immédiatement arrive la nouvelle qu'un pont le long de la rivière Ohio s'est effondré durant l'heure de pointe. Keel a traversé ce pont de nombreuses fois dans le passé. Des gens sont morts.,"",1967-12-15,,"",1967-12-15,sighting,https://rr0.org/time/1/9/6/7/12/index.html#1967-12-15
"le Le 1er Ministre de l'Australie part pour une baignade au milieu de fortes vagues déferlantes et son corps disparait. C'était prédit, dira Keel.","",1967-12-17,,"",1967-12-17,sighting,https://rr0.org/time/1/9/6/7/12/index.html#1967-12-17
le à le mardi 26 Il y a un effort de sauvetage pour aider les reserves indiennes du sud-ouest touchés par une tempête de neige. Parmi eux les Navaho et les Hopi.,"",1967-12-16,,"",1967-12-16,sighting,https://rr0.org/time/1/9/6/7/12/index.html#1967-12-16
le Un jet de l'Air Force s'écrase dans un centre commercial de Tucson. Keel indique que cela a été prévu la veille (c'est incorrectement daté dans son récit au 11). Non daté : Un événement sans précédent est prévu pour le 24. Une grande lumière apparaîtra dans le ciel et alors...,"",1967-12-18,,"",1967-12-18,sighting,https://rr0.org/time/1/9/6/7/12/index.html#1967-12-18
le La lumière prédite n'est pas rapportée.,"",1967-12-24,,"",1967-12-24,sighting,https://rr0.org/time/1/9/6/7/12/index.html#1967-12-24
