description,events,id,place,sources,time,type,url,place.name,place.org,place.place.dirName,place.place.elevation,place.place.events,place.place.id,place.place.locations,place.org.dirName,place.org.events,place.org.id,place.org.kind,place.org.parent,place.org.places,place.org.type,place.place,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.kind,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.kind,place.org.parent.parent.parent,place.org.parent.parent.places,place.org.parent.parent.type,place.org.parent.places,place.org.parent.type,place.org.parent.parent
"le 1er vol d'essai libre d'un drone D-21 près de Point Mugu, lancé depuis un Blackbird hors de Groom Lake.","",1966-03-05,,""""","""",s1,"""",,,",1966-03-05,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-05
"le Observation à Mims (Floride). Observation de Hillsdale (Michigan), que Hynek va expliquer dans un premier temps par des gaz de marais.","",1966-03-20,,""""","""",s2,"""",,10,",1966-03-20,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-20
"le Un télex de l'United Press International mentionne que 40 personnes, dont 12 policiers, ont déclaré avoir vu un objet étrange qui semblait gardé par 4 vaisseaux d'accompagnement, se poser dans un marais proche, pendant la nuit de dimanche. L'incident a eu lieu à Ann Harbor (Michigan).","",1966-03-21,,"",1966-03-21,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-21
le Observation à Houston (Texas).,"",1966-03-22,,""""","""",s3,"""",,10262,",1966-03-22,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-22
"le J. Allen Hynek, sommé d'expliquer l'incident du 21 mars, à court d'arguments, propose le gaz des marais. La presse en fait ses gorges chaudes. en 5 À un instructeur en électronique aéronautique de la base aérienne de Sheppard se rend à son travail sur la route 65, et s'approche de l'intersection avec l'autoroute 70 : A 1500 m de l'intersection, j'ai vu une lumière très brillante à 1500 m environ sur ma droite et j'ai pensé que c'était un camion en difficulté sur l'autoroute. J'ai tourné à l'Ouest sur l'autoroute 70. 400 m plus loin, j'ai changé d'avis et pensé que c'était une maison préfabriquée qui descendait l'autoroute à une heure matinale. C'était garé sur le bas-côté, je suis arrivé à une centaine de mètres, je me suis arrêté, je suis descendu de la voiture et me suis approché à pied de l'objet en laissant mes phares allumés et mon moteur tourner. J'ai fait environ 15 pas puis je me suis rappelé avoir un Kodak sur le siège avant et je voulais faire une photo. J'ai hésité une seconde et c'est alors que j'ai vu l'homme vêtu d'un treillis militaire. J'ai pensé que c'était un sergent... il en avait l'insigne sur le bras droit et une sorte de casquette avec la visière relevée. Il pesait à peu près 80 kg et mesurait dans les 1,70 m. C'était juste un brave G. I. mécanicien en civil... ou un chef d'équipage ou quelque chose comme ça. Il avait une torche dans la main et était presque agenouillé sur son genou droit, sa main gauche touchant le bas du fuselage. L'objet ressemblait à un avion de ligne en aluminium sans ailes ni queue, et sans joints le long du fuselage. Il s'éleva à la verticale, à environ 1,50 m, puis se dirigea vers le Sud-Est, pratiquement à reculons, à près de 1200 km/h si l'on en juge par les granges qu'il illuminait en filant le long de la vallée. Il avait la taille d'un avion cargo mais ne présentait aucun dispositif visible de propulsion. Le témoin fut criblé de questions par des officiers de la base aérienne. Un chauffeur de poids lourd avait observé le même objet sur la route.","",1966-03-23,Temple (Oklahoma),,,,"",,"",""""","""",s4,"""",,10,",1966-03-23,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-23
le Observation à Texahoma (Oklahoma).,"",1966-03-26,,""""","""",s5,"""",,10,",1966-03-26,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-26
le Gerald Ford demande dans une lettre l'ouverture d'une enquête sur la manière dont l'USAF s'acquitte de sa tâche en ce qui concerne les ovnis : Il est temps que ce mystère soit éclairci.,"",1966-03-27,,"",1966-03-27,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-27
"le Observation dans la région de Hampton (New Hampshire), enquêtée par Ray Fowler et John Oswald.","",1966-03-29,,"",1966-03-29,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-29
le Observation à Ottawa (Ohio).,"",1966-03-30,,""""","""",s6,"""",,10,",1966-03-30,sighting,https://rr0.org/time/1/9/6/6/03/index.html#1966-03-30
"Près d', 1 berger voit défiler devant lui, tout près, 1 roue dentée, de plus de 1 m de diamètre, qui passe à une vitesse de 30 km/h environ et poursuit sa route, roulant ou rasant le sol, en direction du nord.","",1966-03,Attignéville (Neufchâteau),,,,"",,"","""""""Marey, George"""""","""",s7,"""",Forces Aériennes Françaises (revue Mensuelle de l'Armée de l'Air) n° 245,1968,""Dans notre ciel et sur notre sol"" in ""Soucoupes Volantes""",1966-03,sighting,https://rr0.org/time/1/9/6/6/03/index.html
