url,place,time,description,sources
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,Robert Richardson percute une nuit un objet inconnu sur la route.,""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"A Alberta (Canada) , 3 témoins photographient un objet inconnu.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,3 policiers voient un objet circulaire entouré d'une lueur orange manœuvrer au-dessus de la New Forest dans le sud de l'Angleterre.,""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"A Cumberland (Rhode Island), photographies de Joseph Ferriere.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"A Clifton (Grand Bretagne), une centaine de personnes déclarent avoir vu un objet argenté en forme de disque, d'environ 10 m de long, atterrir dans la zone FSR 67, 5 < Vallée, Jacques: 1969.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"A Milan (Italie), Antonio Brambila et 1 autre homme voient une lueur venir d'un disque de 6,5 m de diamètre et 2,5 m de haut, avec un dôme au sommet et 4 pieds télescopiques, qui émet une vibration étrange LDLN 91 < Vallée 1969.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,Observation à Lizelia (Mississippi) Cas Blue Book n° 11869 non résolu.,""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"le soir A Santa Clara del Mar (Argentine), 2 personnes voient un objet en forme de cigare sur le sol, à 400 m au loin de la route, qui décolle, montant rapidement. Il possède des ouvertures semblables à des fenêtres, émettant une lumière brillante Vallée 1969, 183.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"Rencontre de Arc-sous-Cicon (Doubs). Le soir A Belfast (Irlande du Nord), E. Browne marche dans un bois et voit un objet en forme de disque, bleu gris mat avec une surface rugueuse, stationnant à 2 m environ du sol. Une ouverture devient visible dans la section du milieu et 2 hommes habillés argenté émergent, marchent dans les bois, puis rentrent dans l'appareil, qui décolle et disparaît de vue FSR 67, 6 < Vallée 1969. Observation d'un croissant rougeâtre dans la région de Kislovodsk Zigel < McDonald, J. E.: ""Case 24. Kislovodsk, Caucasus, August 8. 1967"", Déclaration au Symposium sur les ovnis, 1968",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"Paris-presse - l'intransigeant du 19, titrant Avez-vous vu l'escadrille de des soucoupes volantes ? 1967-07-18 01:15 Au moins 20 personnes sur 10 sites différents de la France voient des phénomènes lumineux, plus ou moins brillants, ce qui provoque une vague d'appels téléphoniques à plusieurs organismes officiels. Les phénomènes paraissent se déplacer vers le nord-est. Les spécialistes avancent la thèse de boules lumineuses semblables à celles qui se produisent lorsque la foudre tombe. Un nouveau communiqué, tiré des calculs de l'administration américaine pour l'aéronautique et l'espace, transforme ""les"" boules de feu en ""une"" seule boule lumineuse, et l'identifie comme le dernier étage de la fusée porteuse du satellite soviétique Cosmos-169 qui brûla lors de sa rentrée dans l'atmosphère. Les autorités soviétiques ne se manifestent pas suite à cette déclaration PS 15 LDLN 295-306. 1967-07-18 01:30 A Boardman (Ohio), un ministre est réveillé par un son étrange et a l'""impulsion"" de descendre les escaliers et regarder dehors. Entre sa maison et la suivante, il voit une silhouette portant une combinaison lumineuse. Il pense que quelqu'un joue une farce, mais l'apparition est bien définie et semble réelle. Il se mue en une lueur informe et s'évanoui Keel, John A.: < Magonia / Vallée 1969.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,Le Vatican annonce que le Pape va visiter la Turquie. Des contactés de Apol datent son assassinat pour le 26. Ils ajoutent qu'il sera précédé d'un tremblement de terre et suivi de 3 jours d'obscurité.,""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"A Jewish Creek (Floride), Barbara Fawcett (18 ans) et sa sœur voient un objet ""déchiqueté"" jaune s'élever au-dessus d'un marais et atterrir sur une colline. Les enquêteurs de la Force Aérienne trouvent une zone roussie très grande sur le lieu APRO Juillet 67 < Vallée 1969.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,Un tremblement de terre mortel touche la Turquie.,""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,"Entre Mareuil (France) et Sainte-Hermine (Vendée), Daniel Bonifait (électricien et sapeur-pompier à Mouchamps, déjà témoin en 1954 à Saint Prouant d'évolutions au ras du sol d'un engin inconnu), sa femme et sa fille regagnent leur domicile en voiture. En arrivant à Simon-la-Vineuse (au croisement de la D19 et de la N148, au nord-ouest de Sainte Hermine), Mme Bonifait pousse un cri de surprise et d'effroi. Les 3 témoins voient alors un énorme disque rouge, de la grosseur d'un immeuble, se poser sur la route, à 200 ou 300 m devant leur véhicule. Mme Bonifait et sa fille distinguent bientôt des formes noires sur ce disque étincelant, mais qui n'éblouit pas. Terrorisée, la jeune fille s'évanouit. M. Bonifait, terriblement impressionné aussi, fait demi-tour. Un repli de terrain lui cache alors à moitié le disque. Tout en continuant de s'éloigner, il regarde fréquemment dans son rétroviseur : La forêt était comme illuminée par des flammes, mais celles-ci étaient différentes de celles d'un incendie GEPA Dec., 68 < Vallée, J. : 1969 Garreau, C. & Lavier, Raymond: Face aux extra-terrestres - 200 témoignages d'atterrissages, Jean-Pierre Delarge, 1975.",""
https://rr0.org/time/1/9/6/7/07/index.html,,1967-07,Le Pape atterrit à Istanboul (Turquie).,""
